UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
76769,2015-03 - 2018-05,EG4,-10.389,33.096,-23.799700,0.920210,-23.614500,nan,nan,-35.643714,34.102417,0.067186,nan,nan,0.990021
76775,2015-03 - 2018-05,HG1000,-10.389,33.096,-25.266500,-20.812400,-46.840000,nan,nan,-36.389947,11.629553,-0.884109,nan,nan,-0.007642
76776,2015-03 - 2018-05,HG1000,-10.389,33.096,-25.266200,-20.810100,-46.831800,nan,nan,-36.389715,11.631931,-0.878138,nan,nan,-0.001430
76782,2015-03 - 2018-05,EG60,-10.389,33.096,0.980500,29.116700,29.471500,nan,nan,-10.420028,63.205981,-0.175072,nan,nan,0.757303
76783,2015-03 - 2018-05,EG60,-10.389,33.096,0.980370,29.117100,29.471900,nan,nan,-10.420181,63.206395,-0.174931,nan,nan,0.757449
76830,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.508300,3.881600,15.385400,nan,nan,1.663249,37.083424,-0.346738,nan,nan,0.573689
77090,2015-03 - 2018-05,ETH-4,-10.389,33.096,-0.274880,-13.133300,-13.633500,nan,nan,-10.192453,19.514052,-0.447060,nan,nan,0.458864
77359,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.596700,4.064000,15.660200,nan,nan,1.750189,37.271854,-0.344917,nan,nan,0.575682
77366,2015-03 - 2018-05,ETH-4,-10.389,33.096,-0.257420,-13.053100,-13.564800,nan,nan,-10.176937,19.596954,-0.475312,nan,nan,0.429509
77405,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.617000,3.808200,15.452600,nan,nan,1.781151,37.007264,-0.319533,nan,nan,0.602004
77412,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.611900,3.852400,15.543000,nan,nan,1.774114,37.052987,-0.268618,nan,nan,0.654984
77419,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.603200,3.845500,15.490000,nan,nan,1.765149,37.045871,-0.305168,nan,nan,0.616956
77450,2015-03 - 2018-05,ETH-1,-10.389,33.096,11.870300,3.420900,14.982200,nan,nan,2.063887,36.606139,-0.661568,nan,nan,0.246149
77573,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.457300,4.013300,15.508000,nan,nan,1.604338,37.219744,-0.302978,nan,nan,0.619240
77719,2015-03 - 2018-05,ETH-2,-10.389,33.096,-0.207300,-12.931100,-13.608000,nan,nan,-10.128368,19.723010,-0.692223,nan,nan,0.203926
77792,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.542800,3.975200,15.555400,nan,nan,1.696351,37.180144,-0.306193,nan,nan,0.615914
78068,2015-03 - 2018-05,ETH-4,-10.389,33.096,-0.311520,-13.117800,-13.681500,nan,nan,-10.231858,19.530166,-0.473340,nan,nan,0.431517
78089,2015-03 - 2018-05,ETH-4,-10.389,33.096,-0.332230,-13.117900,-13.646500,nan,nan,-10.253801,19.530110,-0.416407,nan,nan,0.490735
