UID,Session,Sample,d45,d46,d47,TimeTag
854,6,HG1000,1.0120,27.0000,26.8640,43641.3924
855,6,ETH-1,12.2970,5.9710,18.0310,43641.5576
861,6,102-GC-AZ01,10.5480,-6.2950,4.3700,43642.4417
863,6,EG30,4.6590,-3.0800,1.7960,43642.6347
867,6,NBS-19,12.2280,6.1050,18.1840,43643.3597
871,6,HG1000,0.0330,-1.4930,-2.2820,43643.7542
875,6,EG30,5.1970,13.8450,19.1460,43644.4382
876,6,ETH-2,0.6630,-10.2540,-10.1080,43644.5597
890,6,HG1000,0.9170,26.1810,25.8980,43646.6403
891,6,ETH-3,12.0020,6.6180,18.7780,43646.7375
894,6,HG1000,5.7060,-0.4840,4.5530,43647.4444
900,6,102-GC-AZ01,10.4350,-5.7980,4.7340,43648.5000
901,6,EG30,4.7200,-3.0520,1.8610,43648.6090
906,6,EG30,5.2170,13.9900,19.2770,43649.5347
912,6,ETH-1,12.2840,6.1610,18.1900,43650.5931
915,6,HG1000,0.6840,23.2190,22.7480,43650.8958
920,6,HG1000,0.0430,-1.9130,-2.7110,43651.9174
922,6,ETH-2,0.2570,-10.6930,-10.9700,43652.1493
923,6,EG30,4.6620,-3.2060,1.6340,43652.5583
929,6,EG30,5.0270,13.8490,18.9410,43653.5000
934,6,102-GC-AZ01,10.3110,-6.1050,4.3140,43654.0701
937,6,HG1000,1.0190,27.5130,27.3690,43655.4076
942,6,HG1000,-0.0200,-2.0860,-2.9310,43656.3646
946,6,ETH-3,12.0320,6.4460,18.6300,43656.7924
950,6,EG30,4.6170,-3.2350,1.5380,43657.6424
