UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
D417,2016-10,ETH-3,-3.762,33.882,5.183392,3.438413,8.437717,nan,nan,1.638502,37.428204,-0.306176,nan,nan,0.630834
D418,2016-10,ETH-3,-3.762,33.882,5.165867,3.392243,8.363129,nan,nan,1.621521,37.380460,-0.316914,nan,nan,0.618467
D419,2016-10,eHG,-3.762,33.882,0.175989,3.179460,2.495370,nan,nan,-3.692727,37.171825,-0.809223,nan,nan,0.037935
D426,2016-10,eEG30,-3.762,33.882,0.376031,8.203899,8.377097,nan,nan,-3.664245,42.371620,-0.077728,nan,nan,0.884827
D427,2016-10,dEG30,-3.762,33.882,-0.784913,-24.034978,-24.349954,nan,nan,-3.701349,9.007749,0.078116,nan,nan,0.877343
D434,2016-10,dEG30,-3.762,33.882,-0.784263,-24.285877,-24.573418,nan,nan,-3.691258,8.748074,0.101211,nan,nan,0.901818
D443,2016-10,dHG,-3.762,33.882,-0.747411,-24.090608,-25.121444,nan,nan,-3.655544,8.950199,-0.697270,nan,nan,0.009847
D444,2016-10,ETH-1,-3.762,33.882,5.470224,3.027844,7.939917,nan,nan,1.959550,37.002604,-0.691708,nan,nan,0.198872
D445,2016-10,ETH-2,-3.762,33.882,-6.419285,-13.407629,-20.251652,nan,nan,-10.109043,20.019734,-0.544453,nan,nan,0.206906
D450,2016-10,ETH-3,-3.762,33.882,5.169916,3.351741,8.313607,nan,nan,1.627336,37.338531,-0.330490,nan,nan,0.603078
D459,2016-10,eEG30,-3.762,33.882,0.314219,6.496703,6.650721,nan,nan,-3.667167,40.604833,-0.061457,nan,nan,0.893394
D460,2016-10,eHG,-3.762,33.882,0.127442,2.807013,2.063839,nan,nan,-3.730725,36.786460,-0.824620,nan,nan,0.018407
D461,2016-10,ETH-2,-3.762,33.882,-6.417392,-13.387825,-20.197209,nan,nan,-10.107762,20.040226,-0.510604,nan,nan,0.244891
D462,2016-10,ETH-1,-3.762,33.882,5.446549,2.958174,7.860684,nan,nan,1.936880,36.930552,-0.677744,nan,nan,0.213979
D463,2016-10,ETH-3,-3.762,33.882,5.184042,3.485577,8.468124,nan,nan,1.637452,37.477016,-0.322896,nan,nan,0.612387
D464,2016-10,ETH-3,-3.762,33.882,5.174892,3.383956,8.346901,nan,nan,1.631451,37.371862,-0.334144,nan,nan,0.599195
D467,2016-10,dEG30,-3.762,33.882,-0.771221,-24.042336,-24.303585,nan,nan,-3.686472,9.000102,0.118927,nan,nan,0.923034
D468,2016-10,dHG,-3.762,33.882,-0.766540,-24.225562,-25.260092,nan,nan,-3.670888,8.810569,-0.683775,nan,nan,0.024104
D476,2016-10,eHG,-3.762,33.882,0.195604,4.489121,3.793650,nan,nan,-3.720215,38.527263,-0.817827,nan,nan,0.035535
